character select,characterSelect,Character Select,Выбор персонажа,
,satchel,satchel,Ранец, WARNING: AUTO-TRANSLATION #####################################################
,satchel1,"Satchel is the son of a noble bird on the run from the evil King Corvus, the Crow King! With his bag ripped and town captured, Satchel seeks the help of other heroes, and to discover the mystery of the Spiral of Feathers - in hopes of fixing his bag and saving his home!","Ранец — сын благородной птицы, который бежит от злого короля Корвуса, Короля воронов! С разорванной сумкой и потерянным городом, Ранец ищет помощи у других героев и раскрывает тайну Перьевой Спирали — в надежде починить свою сумку и спасти свой дом!", WARNING: AUTO-TRANSLATION #####################################################
,purse,purse,Сумочка,
,purse1,"A peppy rat from a poor village in Oakshire Forest, she aims to storm the dungeon, rebuild her village, and save her family!","Энергичная крыска из бедный деревушки в Окширском Лесу, она хочет покорить подземелье, восстановить свою деревню и спасти свою семью!",
,tote,tote,Нести, WARNING: AUTO-TRANSLATION #####################################################
,tote1,"Banished by the elder frogs, her backpack is blessed by the Dreaming Tree. Magical carvings spawn each turn she is in danger.","Изгнанная старшими лягушками, ее рюкзак благословлен Древом Грез. Волшебная Резьба появляется каждый ход, когда она в опасности.", WARNING: AUTO-TRANSLATION #####################################################
,CR-8,CR-8,О-8К, WARNING: AUTO-TRANSLATION #####################################################
,CR-81,"When you can't find a hero, you gotta make one! CR-8 is a mishmash of metal and nerd stuff that will take care of any enemy automatically - provided his circuitry is properly organized.","Когда ты не можешь найти героя, ты должен его создать! О-8К — это мешанина из металла и электроники, которая автоматически позаботится о любом враге — при условии, что его схема правильно организована.", WARNING: AUTO-TRANSLATION #####################################################
Events,,,,///////////////I is intros and f is farewells
,evg,/x gold,/x золота,
,chest,chest,Сундук, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,evtn,Welcome to the dungeon!,Добро пожаловать в подземелье!,
,evto1,You must conquer the dungeon by delving deep to the center to discover the ancient cheeses hidden there. You are armed only with your magic backpack.,"Вы должны покорить подземелье, проникнув глубоко в его сердце и обнаружить древний сыр, который припрятан там. Вы вооружены только своим волшебным рюкзаком.",
,evtb1,I'm ready!,Я готов!,
,evtb1o1,"You head into the dungeon, knowing very few make it back alive!","Вы спускаетесь в подземелье, зная, что мало кто возвращался живым!",
,,,,
,evten,The end?,Конец?,
,evteo1,You have made it to the center of the dungeon and have found the golden cheese! More content is coming! Please join our discord and show off your  backpack!,У вас получилось пройти подземелье и найти Золотой Сыр! Еще много нового ждет нас впереди! Заходите в наш Discord и похвастайтесь своим рюкзаком!,
,evteo1cr8,"You see a golden cog upon the platform. Reaching out, it lifts into the sky. Your machinery will restore Orderia! This is only the beginning of your new machines!","Вы видите золотую шестеренку на платформе. Протягивая к ней руку, она поднимается в небо. Ваши технологии восстановят Ордерию! Это только начало ваших новых машин!", WARNING: AUTO-TRANSLATION #####################################################
,evteo1purse,"Your whiskers twitch. There it is - the golden cheese! With delicious food, many new villagers will flock to Orderia!",Твои усы подергиваются. Вот он - золотой сыр! Благодаря вкусной еде в Ордерию приедет много новых жителей!, WARNING: AUTO-TRANSLATION #####################################################
,evteo1tote,"Atop the altar is a golden seed - a ""Dreaming Seed"". With each seed, a new plant will spring to life in Orderia!",На алтаре находится золотое семя — «Семя сновидений». С каждым новым семенем в Ордерии вырастает новое растение!, WARNING: AUTO-TRANSLATION #####################################################
,evteb1,Continue in Endless Mode,Продолжить в Бесконечном Режиме,
,evteb1o1,You continue forward! Things are about to get pretty hard...,Вы продолжили спускаться. Скоро все станет еще тяжелее...,
,evteb2,New game!,Новая игра!,
,evteb2o1,You decide to start again for a new challenge!,Вы решили начать заново и принять новый вызов!, WARNING: ENGLISH TEXT CHANGED #####################################################
,,,,
,,,,
,,,,
,,,,
,,,,
,evldn,Locked door,Запертая дверь,
,evldo1,You encounter a locked door. Will you open it?,Вы нашли запертую дверь. Откроете её?,
,evldb1,Unlock the door,Открыть дверь,
,evldb1o1,You open the door.,Вы открыли дверь.,
,evldb2,Leave,Уйти,
,evldb2o1,You leave the door.,Вы отошли от двери.,
,,,,
,,,,
,,,,
,ev1n,The master returns,Возвращение Мастера-Лучника,
,ev1o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... 'May I help you further?' he asks. 'A few coins and I will give you an item for archers.'","Ты видишь его издали, сидящая фигура, которая источает уверенность и силу, приподнимает голову и пронзает тебя своим взглядом. Ты чувствуешь, что эти мышиные глаза смотрят тебе прямо в душу. ""Тебе нужна моя помощь? Я всегда готов подсобить лучнику вещичкой за пару монет.""",
,ev1b1,Get an item,Получить предмет,
,ev1b1o1,"He takes the coins and rubs them in his mouse paw. ""Just a few will do nicely. I hope this can help you further,"" he says.","Он аккуратно взял монеты в лапу и промолвил: ""Благодарю, друг мой. Надеюсь я смог помочь тебе""",
,ev1b1o1t1,Fly true like an arrow,"Лети к своей цели, как стрела.",
,ev1b1o1t2,Be one with your aim,"Лук, это продолжение тебя",
,ev1b2,Not for me,Это не для меня,
,ev1b1o2t,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""","Облокотившись на стену, он сказал: ""Я понимаю. Скоро сюда придут другие Лучники. Со временем здесь станет спокойнее.""",
,ev1b1o2t1,Archery requires time.,Лучниками не рождаются.,
,ev1i1,The arrow flies straight.,"Стрела летит туда, куда ты ее пошлешь.",
,ev1i2,The path of an arrow - to the heart,Путь стрелы - в сердце,
,ev1i3,Archery is an art,Стрельба из лука - это искусство,
,ev1i4,Arrows require patience,Стрелы требуют терпения,
,ev1f1,May we meet again,Надеюсь мы ещё увидимся,
,ev1f2,In another life...,В другой жизни...,
,ev1f3,Fly straight,Лети прямо,
,ev1f4,Aim true,Целься точно,
,ev1f5,Bullseye.,В яблочко.,
,ev1f6,Stay in range,Сохраняй дистанцию,
,,,,
,ev2n,Master Archer,Мастер-Лучник,
,ev2o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... ""A trade my sibling?"" he asks. ""Discard the tools of badgers. Be one with flight.""","Ты видишь его издали, сидящая фигура, которая источает уверенность и силу, приподнимает голову и пронзает тебя своим взглядом. Ты чувствуешь, что эти мышиные глаза смотрят тебе прямо в душу. ""Выгодный обмен мой друг? Выкинь оружие дикарей, и стань единым с искусством.""",
,ev2b1,"Give a weapon, get archery kit.","Отдать оружие, получить набор лучника.",
,ev2b1o1,"He takes the weapon and tosses it into the darkness. ""This is not a weapon. It is a crutch."" He hands you new items.","Он берет оружие выданное тобой и выкидывает его в темноту. ""И они называют это оружием!"" Передает тебе новые вещи.",
,ev2b1o1t1,Welcome to the school of archery.,Добро пожаловать в школу Стрельбы,
,ev2b2,Not for me,Это не для меня,
,ev2b2o1,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""","Облокотившись на стену, он сказал: ""Я понимаю. Скоро сюда придут другие Лучники. Со временем здесь станет спокойнее.""",
,ev2b2o1t1,Archery requires time.,Стрельба из лука требует выдержки.,
,,,,
,ev3n,The retiring Chef,Шеф в отставке,
,ev3o1,"Age has crept in around his snout. You can see the white fur and shaggy edges from around his coat. ""I'm getting out of the game,"" he says. ""If you have something to eat, I might as well give you my cleaver.""","Возраст отчетливо читался на его морде. Так же можно было увидеть запущенный, седой мех, высовывающийся из под кофты. ""Давненько я ничего не готовил.. Угостишь старика, а я тебе свой тесак подарю.""",
,ev3b1,Trade food for a cleaver,Обменять еду на тесак,
,ev3b1o1,"Looks good to me, he says. You can't believe that he eats the whole thing without a moment's thought. ""Here you go,"" he says and hands you his chef knife. ""I won't be needing this any more.""","""Отлично выглядит!""- шеф сказал, и без задней мысли проглотил блюдо за секунду. ""Отлично получилось! Держи за свои труды, он мне все равно больше не понадобится."" Протягивает тебе свой кухонный нож.",
,ev3b1o1t1,I loved that knife. Use it well!,Это мой любимый нож. Воспользуйся им на славу!,
,ev3b1o1t2,I hope you like it!,Надеюсь тебе понравится!,
,ev3b2,No thanks!,"Спасибо, не надо!",
,ev3b2o1,You turn to leave.,Ты поворачиваешься чтобы уйти.,
,ev3b2o1t1,Sure you won't change your mind?,Ты уверен в своем решении?,
,ev3i1,Ah! Hope you aren't too hungry.,"Ох, надеюсь ты сам то не голодаешь?",
,ev3i2,Oh my!,Ух ты!,
,ev3f1,Eat well!,Питайся хорошо!,
,ev3f2,Be well fed!,Держи живот набитым!,
,ev3f3,Taste victory!,Распробуй победу!,
,ev3f4,Stay full!,Следи за здоровьем!,
,ev3f5,Find cheese!,Найди сыр!,
,ev3f6,Welcome! Eat well!,Добро пожаловать! Сытый?,
,ev3f7,Ah! A customer!,Ооо! Покупатель!,
,,,,
,ev4n,Chef's platter,Протвень Шефа,
,ev4o1,"Is that grilled onion you smell? And the scent of garlic? Oh wow! You want some so bad! ""My friend!,"" the mouse shouts to you. ""Let me indulge you!""","Это запах жареного лука ты чувствуешь? И запах чеснока? Ух ты! У вас потекли слюни! ""Мой друг!"" — кричит вам мышь. ""Позвольте мне побаловать вас!""", WARNING: AUTO-TRANSLATION #####################################################
,ev4o1cr8,"Your gears shift and churn. Is that the aroma of food? Somewhere deep within you, a memory stirs. But you cannot smell anything. The mouse shouts to you. ""Let me indulge you!""","Ваши шестерни начинают вертеться быстрее. Это запах еды? Где-то глубоко внутри тебя пробуждается воспоминание. Но вы ничего не можете унюхать. Мышь кричит вам. ""Позвольте мне побаловать вас!""", WARNING: AUTO-TRANSLATION #####################################################
,ev4b1,Buy some food!,Продать вкусной еды?!,
,ev4b1o1,"Very good, he says. ""Another perhaps?""","Отлично, отлично, еще чего-нибудь?",
,ev4b2,"No, thank you","Нет, спасибо",
,ev4b2o1,"Very good sir, he says. ""But please do change your mind.""","Как скажете! Но прошу, приходите еще.",
,ev4b2o1t1,More food to be had!,Кк много вкусной еды нас ждет!,
,ev4b2o1t2,Eat again!,Самое время подкрепиться!,
,,,,
,ev5n,Eyes,Глаза,
,ev5o1,The wall splits open. Inside you can see a vast abyss. Green eyes peer in. You recognize them as the eyes of a predator. Strange sounds echo from the place and an offer is made...,"Стена раскрывается перед тобой. За ней нет ничего кроме пугающей пустоты. Вдруг, появляются зеленые глаза. Ты чувствуешь от них угрозу. Странные звуки исходят стены, ты понимаешь, что тебе предложили сделку...",
,ev5b1,Take a rare item for a curse,Взять редкий предмет и проклятье,
,ev5b1o1,You can feel an acknowledgement and an item appears. The eyes watch as a horrible curse is placed in your backpack,"Ты чувствуешь, что сделка произошла. Перед тобой появился предмет, а в рюкзаке образовалось проклятье.",
,ev5b1o2,"Two items appear in front of you, but a horrible curse has been placed upon you. The eyes give no sign of emotion.",Целых два предмета появилось из воздуха! Но ужастное прокльятье нависло над тобой. Глаза даже не моргнули.,
,ev5b2,No thanks,"Нет, спасибо",
,ev5b2o1,The eyes watch you. They show no sign of emotion. ,Глаза смотрят на тебя. В них нет и капли эмоций, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev5i1,01100111 01101111 01101110 01100101,11010001 10000011 11010001 10001000 11010000 10111011 11010000 10111110,
,ev5i2,01110111 01100001 01110010,11010000 10110010 11010000 10111110 11010000 10111001 11010000 10111101 11010000 10110000,
,ev5i3,01101101 01100001 01101011 01100101 01110010 01110011,11010000 10111100 11010000 10110000 11010001 10000001 11010001 10000010 11010000 10110101 11010001 10000000,
,ev5f1,01110010 01100101 01101100 01101001 01100011 01110011,11010001 10000000 11010000 10110101 11010000 10111011 11010000 10111000 11010000 10111010 11010000 10110010 11010000 10111000 11010000 10111000,
,ev5f2,01100100 01100001 01101110 01100111 01100101 01110010,11010001 10000001 11010001 10000010 11010001 10000000 11010000 10110000 11010001 10000101,
,ev5f3,01100001 01101000 01100101 01100001 01100100,11010000 10110010 11010000 10111111 11010000 10110101 11010001 10000000 11010000 10110101 11010000 10110100,
,,,,
,ev6n,Brandy the Otter,Выдра Бренди,
,ev6o1,"Well, howdy! she says as you approach! Her nose wiggles and she shakes her gigantic tail. ""I've been doing some fishing. Care to buy one?""","""Ну чтож, здравствуй!"" Ты видишь как тебе машет выдра, помахивая своим огромным хвостом. ""Я тут поймала несколько рыб. Не хочешь выкупить?""",
,ev6b1,Buy a fish!,Купи рыбу!,
,ev6b1o1,"She tosses you a fish. ""Care for another?""","Она кидает тебе рыбу. ""Желаешь ещё одну?""",
,ev6b1o1t1,Hope you enjoy it!,"Надеюсь, она тебе понравится!",
,ev6b1o1t2,That's good!,Это хорошо!,
,ev6b2,No thanks,"Спасибо, не надо",
,ev6b2o1,You say no. The smell is starting to get to be a bit much.,Вы отказываетесь. Запах становится нестерпимым.,
,ev6b2o1t1,I'm still here if you want more!,"Я всё ещё тут, если захочешь ещё!",
,ev6b2o1t2,"If you want a fish, let me know!","Если захочешь рыбу, дай знать!",
,ev6i1,Well howdy traveler!,"Ну здравствуй, бродяга!",
,ev6i2,"Nothing like a good fish, ya hear?","Что может переплюнуть хорошую рыбину, слышишь?",
,ev6i3,I'm hungry! Need to chomp!,Я проголодалась! Надо перекусить!,
,ev6i4,Oh! Well how ya' doin' friend?,"Ох! Ну как твои делишки, дружище?",
,ev6i5,Mmm... hi howdy there!,"Хмм... О, здарова!",
,ev6f1,See you again soon!,Скоро увидимся!,
,,,,
,ev7n,The Forge - Shield,Кузница - Щит,
,ev7o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.","Большая, накачанная барсучиха стоит у своей наковальни. Годы проведенные в подземелье заколили ее на славу. Она кивает и спрашивает: ""Ковать будем?"" Барсуки как мы знаем не многословны.",
,ev7b1,Add 4 block,Добавить 4 защиты,
,ev7b1o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.","Она берет твой щит и начинает бить по нему своим молотом. Звон раздается по всему подземелью. ""Готово. Теперь лучше."" После осмотра, ты удивляешься, насколько щит выглядит лучше.",
,ev7b1o1t1,You enjoy.,Наслаждайся,
,ev7b2,Add 1 spike,Добавить 1 Шипы,
,ev7b2o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.","Она берет твой щит и начинает бить по нему своим молотом. Звон раздается по всему подземелью. ""Готово. Теперь лучше."" После осмотра, ты обнаруживаешь, что несколько блестящих шипов украшают твой щит.",
,ev7b2o1t1,Better now.,Так пойдет,
,ev7b3,Add 1 haste,Добавить 1 Ускорение,
,ev7b3o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.","Она берет твой щит и начинает бить по нему своим молотом. Звон раздается по всему подземелью. ""Готово. Теперь лучше."" После осмотра, ты обнаруживаешь, что щит стал гораздо легче.",
,ev7b3o1t1,Work fun.,Забавно получилось,
,ev7b4,No thanks,"Нет, спасибо",
,ev7b4o1,She nods and carries on her work.,Она кивает и возвращается к работе,
,ev7b4o1t1,Work to do.,Пора за работу,
,ev7b4o1t2,No want?,Не хочешь?,
,ev7b4o1t3,Still here...,Еще здесь...,
,ev7i1,This my forge,Моя кузня,
,ev7i2,Welcome to forge,Заходи,
,ev7i3,I am a crafter,Кузнец,
,ev7i4,I craft for ages...,Столько лет прошло,
,ev7f1,Be well,Бывай,
,ev7f2,Be strong,Закаляйся,
,ev7f3,Be fierce,Будь сильным,
,ev7f4,Be like Badger,Будь как барсук,
,,,,
,ev8n,The Forge,Кузница, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.","Большая, накачанная барсучиха стоит у своей наковальни. Годы проведенные в подземелье заколили ее на славу. Она кивает и спрашивает: ""Ковать будем?"" Барсуки как мы знаем не многословны.",
,ev8b1,Add /x damage to a weapon,Добавить 5 урона оружию, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b2,Add /x poison to a weapon,Добавить 2 Яд оружию, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b3,Add /x burn to a weapon,Добавить 1 ожог оружию, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b4,Add /x slow to enemy to a weapon,Добавить /x замедления оружию, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b5,Add /x block to armor,Добавить /x защиты к броне, WARNING: AUTO-TRANSLATION #####################################################
,ev8b6,Add /x block to a shield,Добавить /x защиты к щиту, WARNING: AUTO-TRANSLATION #####################################################
,ev8b7,Add /x haste to a shield,Добавляет /x ловкости к щиту, WARNING: AUTO-TRANSLATION #####################################################
,ev8b8,Add /x spikes to a shield,Добавить /x шипы к щиту, WARNING: AUTO-TRANSLATION #####################################################
,ev8b9,Add conductive to armor,Сделать броню Проводящей, WARNING: AUTO-TRANSLATION #####################################################
,ev8b10,Add /x energy to clothing,Добавить /x энергии к одежде, WARNING: AUTO-TRANSLATION #####################################################
,ev8b11,Add /x haste to a structure,Добавить /x ловкости к строению, WARNING: AUTO-TRANSLATION #####################################################
,ev8b12,Add /x regen to a ring,Добавить /x регенерации к кольцу, WARNING: AUTO-TRANSLATION #####################################################
,ev8b13,No thanks,"Спасибо, не надо", WARNING: AUTO-TRANSLATION #####################################################
,ev8b13o1,She nods and carries on her work.,Она кивает и продолжает свою работу., WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t1,Work to do.,"Работа, которую нужно сделать.", WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t2,No want?,Нет желания?, WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t3,Still here...,Все еще здесь..., WARNING: AUTO-TRANSLATION #####################################################
,ev8bsos,"She takes the item, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, it glows with a new purpose.","Она берет предмет, поворачивает его несколько раз, а затем прижимает к своей наковальне. От ее молота летят искры, и ты поворачиваешься, чтобы закрыть глаза. Когда вы поворачиваетесь назад, предмет светится у нее в руках.", WARNING: AUTO-TRANSLATION #####################################################
,ev8bsosts,I help,Я помогаю, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,ev9n,Healer,Лекарь,
,ev9o1,The porcupine's have travelling clinics throughout the dungeon. They seek to heal the animals who venture deep into the dangers here.,"Дикобразы организовали несколько путешествующих клиник, которые путешествуют по подземелью. Они ищут и помогают тем, кто решился спуститься сюда.",
,ev9b1,Heal 25 health,Вылечить 25 здоровья,
,ev9b1o1,"She runs her paw across your wounds. The quills on her back shake and you are lost in the sound of them. When you come to, many wounds are healed.","Лекарь проводит своей лапой над твоими ранами. Ее иглы начинают слегка подрагивать, создавая волшебную мелодию, которая усыпляет тебя. Придя в чувство. ты обноруживаешь, что раны зажили.",
,ev9b1o1t1,You look stronger my dear!,"Отличны выглядишь, дорогуша!",
,ev9b1o1t2,Glad to have helped you!,Всегда рада помочь.,
,ev9b1o1t3,I am here for you!,Мы здесь специально для таких как ты.,
,ev9b1o1t4,Those wounds are gone.,Можешь больше не беспокоиться о своих ранах.,
,ev9b2,Gain 5 max health ,Увеличить максимальное здоровье на 5, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1,She reaches out and you feel a great strength rising! For a moment you seem to lift off the floor.,"Она кладет свою лапу тебе на лоб и тихо что-то шепчет. Закрыв глаза, ты ощущаешь невероятный приток сил.", WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1purse,"She reaches out to you. You feel a great strength in you rising. Your paws are firmly planted, but it almost feels that you are floating.","Она тянется к вам. Вы чувствуете огромную силу в данном жесте. Ваши лапы твердо стоят на земле, но вам кажется, что вы парите.", WARNING: AUTO-TRANSLATION #####################################################
,ev9b2o1t1,You are stronger now than before.,Это всегда было в тебе.,
,ev9b2o1t2,I see your strength.,Я вижу твою истенную силу.,
,ev9b2o1t3,May you achieve what seemed impossible.,Ты можешь достичь невозможного.,
,ev9b2o1t4,Your bravery astounds me.,Твоя смелость не знает границ,
,ev9b3,Remove all curses,Удалить все проклятья,
,ev9b3o1,"I sense a great disturbance, she says. ""Something horrible has been placed in your backpack. Let me see."" She removes a single quill and pokes it into your bag carefully in several spots. ""That should do it,"" she says.","""Я чувствую жуткую ауру исходящую от твоего рюкзака, дай мне взглянуть"" Она берет одну игролку со своей спины и протыкает рюкзак в нескольких местах. ""Так гораздо лучше"" - говорит она и ты чувствуешь, как рюкзак полегчал. ",
,ev9b3o1t1,The curses can't hurt you now.,Я позаботилась об этом,
,ev9b3o1t2,Your backpack is a true friend.,"Как хорошо иметь таких друзей как рюкзак, не правда ли?",
,ev9b3o1t3,Curses are temporary.,Проклятья - не приговор,
,ev9b3o1t4,Heroics are forever.,Героям такое по плечу,
,ev9b4,Nothing for me,"Не стоит, но спасибо!",
,ev9b4o1,Very well she says.,Как скажешь.,
,ev9b4o1t1,We are with you,Мы с тобой,
,ev9i1,Welcome to our healing center!,Добро пожаловать в нашу клинику!,
,ev9i2,We are here to protect the brave!,Мы здесь для защиты от тьмы!,
,ev9i3,"Come hero, let me heal you!","Подойди, позволь мне позаботиться о тебе.",
,ev9f1,Stay safe!,Береги себя!,
,ev9f2,My sisters are here for you!,Мои сестры ждут тебя,
,ev9f3,May we meet again!,Мы еще встретимся!,
,,,,
,ev10n,Magic Font,Колдовской Источник,
,ev10o1,"Nestled deep in a throng of mushrooms you see a magical font, its cool waters flowing. Above the water, a humid mist circles and spills over the edge. In the distance  you hear frogs croaking... no... chanting.","Через чащу грибов ты замечаешь светящийся пруд, от которого исходит густой туман, тяжело переваливающийся через край. В далеке слышиться  кваканье и завораживающее пение лягушек.",
,ev10b1,Say a prayer...[+3 max hp],Помолиться - [увеличить максимальное здоровье на 3],
,ev10b1o1,"You wish to make it home safely, your backpack overflowing with rare cheeses. You feel a warmth in you. You can do this!","Ты пожелал добраться до дома в сохранности, и принести огромную кучу сыра семье. Ты чувствуешь как тепло наполняет тебя. Ты готов на все!",
,ev10b2,take a bath [+15 hp],Принять ванну - [вылечить 15 здоровья],
,ev10b2o1,The water feels warm and relaxing on your skin. The croaking grows louder. From behind a mushroom a frog nods at you. Your wounds are healed.,"Вода оказывается теплой, твое тело расслабляется. Кваканье становится громче, ты замечаешь лягушку, которая кивает тебе. Твои раны затягиваются.",
,ev10b3,Kick it over! [Start a battle!],Осквернить - [Начать битву!],
,ev10b3o1,"You watch the water as it flows across the floor of the dungeon. It pools up around the feet of an enemy. You look up. The frogs are not happy. ""Zealot!"" they cry and attack!","Ты видешь как вода вспенивается и начинает выливаться на зумлю. Тут же выскакивают обозленные лягушки, которым явно не понравилось твое деяние. ",
,,,,
,ev11n,Buckler-o,Баклер-о,
,ev11extra,Drop the li'l Buckler! You can take the item you land on!,"Скинь мини Баклер и получи вещь, на которую он приземлится!",
,ev11i1,Nothing up my sleeves!,Мои рукова пусты!,
,ev11i2,My left foot is lucky!,Сегодня я встал с правильной ноги!,
,ev11i3,My house looks like a hat!,Мой дом выглядит как шляпа!,
,ev11f1,Magical!,Волшебно!,
,,,,
,ev12n,The Alchemist,Алхимик,
,ev12o1,"Well hello there. Her voice is cool and friendly - not what you expected. ""May I interest you in some potions? In return... I ask for just a taste."" ""A taste? Of me?"" you ask. ""Just a nibble darling,"" she says. ""You'll barely feel a thing.""","""Ну здравствуй."" - обладательница холодного, но добожелательного голоса поздоровалась с тобой. ""Могу ли я вас заинтересовать зельями? За очень маленькую цену, всего лишь опробовать тебя, не волнуйся, ты ничего не почувствуешь."" ",
,ev12b1,Get a potion. [Lose 5 health],Получить зелье - [Потерять 5 здоровья],
,ev12b1o1,"Her teeth press into your neck. ""Oh delicious. May I tempt you again?""","Ее зубы сжимаются на твоей шее. ""Ох, какая прекрасная кровь, позволишь еще?""",
,ev12b2,No thanks!,Пожалуй откажусь..,
,ev12b2o1,"Very well darling, she says. ""Though I am sorry to see you go.""","Как скажешь, дорогуша. Мне будет тебя нехватать.",
,ev12b2o1t1,"Your loss, my sweet.","Потом пожалеешь, конфетка.",
,ev12i1,"So vital. Mmm, delicious.",Такая редкость... вкуснятина...,
,ev12i2,The proper ingredients for the potion...,Хмм.. это отлично подойдет для моих зелий,
,ev12i3,We brew what we can  to do what we must,"Мы варим, что можем, для того что бы делать, что должны.",
,ev12i4,"A drop of red, a drop of green...","Капля красного, капля зеленого...",
,ev12f1,My dear there are reasons why things are as they are.,У всего есть свои причины.,
,ev12f2,Come freely. Go safely darling.,"Хорошего пути тебе, дорогуша.",
,,,,
,ev13n,Trading up,Торговля,
,ev13o1cr8,"A warning from your internal systems - someone here cannot be trusted. Through the darkness your mechanical eyes see him clearly - a rat. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.",Предупреждение от ваших внутренних систем - кому-то здесь нельзя доверять. Сквозь темноту ваши механические глаза ясно видят его - крысу. «Давайте заключим сделку». он говорит. «Я дам тебе более редкий предмет того же типа…» Он усмехается. Никаких гарантий., WARNING: AUTO-TRANSLATION #####################################################
,ev13o1,"Your snout wiggles as you inhale a musky odor. Someone here is in need of a bath. You turn around and standing there is a rat. You never heard him come out. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.","Ты ощущаешь неприятный запах, как будто кто-то не мылся днями. Осмотревшись, замечаешь крысу, которой там небыло секунду назад. ""Готов торговать? Готов обменять вещь на другую, такого же типа, но более редкую. Все честно, как мне можно не доверять?"" - говорит с довольной ухмылкой.",
,ev13b1,Get a rarer item of the same type,Получить более редкую вещь того же типа,
,ev13b1o1,"He takes the item and examines it. ""How's this for a trade?"" There's no time to say no.","Он берет предмет и после осмотра говорит: ""Забирай то что заслужил, возврат не обсуждается"" .",
,ev13b1o1t1,Hehehe,Хехехе,
,ev13b1o1t2,Hope ya' like it,Надеюсь тебе оно нравится,
,ev13b1o1t3,No take backsies,Никаких возвратов товара!,
,ev13b2,No thanks,"Нет, спасибо",
,ev13b2o1,"You see his tail flick ominously beneath his cloak. A smile crosses his lips. ""Come now,"" he says. ""I think you'll see it's in your interest.""","Ты засечаешь недовольные покачивания хвостом. ""Да ладно тебе, я уверен что это в твоих интересах"" - настаивает он с улыбкой на лице.",
,ev13b2o1t1,Don't resist this deal,Не стоит отказывать от такого,
,ev13b2o1t2,Let me tempt you,Позволь убедить тебя,
,ev13b2o1t3,"Come now, let's trade","Давай, время для торговли",
,ev13i1,What are ya' trading?,Чем торгуешь?,
,ev13i2,Lets make a deal!,Давай заключим сделку,
,ev13i3,Care to do a trade?,Не против поторговать?,
,ev13f1,He he he,Хе хе хе,
,ev13f2,What a sucker...,Ну и олух...,
,,,,
,ev14n,Shady Trader,Сомнительный Барахольщик,
,ev14o1,"His cloak billows as he steps out from the shadows. ""We can make a trade, you and I."" he says. You know risks are involved.","Выходя из теней, он поправляет свой плащ. ""Я предлагаю тебе совершить обмен. Ты и я.""",
,ev14b1,Get a different item of the same rarity,Получить другую вещь той же редкости,
,ev14b1o1,He takes your item and from his cloak pulls a replacement.,Он забирает твою вещь и вытаскивает из под плаща другую.,
,ev14b2,No thanks!,"Спасибо, но я откажусь",
,ev14b2o1,"Very well, he says. ""But can I perhaps change your mind?""","Хорошо, но может быть ты все таки подумаешь над этим?",
,ev14b2o1t1,The offer still stands.,Предложение в силе,
,,,,
,ev15n,squirrel patrol,Беличий Патруль,
